air,dlwrf,dswrf,evap,lhtfl,prate,pres,rhum,shtfl,shum,tcdc,ulwrf,uswrf,uwnd,vwnd
280.311065673828,290.140625,99.390625,0.275028377771378,-71.1134033203125,-2.42589771914936e-06,100950.4296875,62.4448547363281,-1.9254150390625,0.00390816433355212,56.125,340.3125,20.3046875,4.29318428039551,-1.22460746765137
280.098510742188,246.765625,122.3203125,0.116157941520214,-26.6520385742188,5.74014939047629e-06,101525.3046875,76.9820556640625,-0.0721435546875,0.00471171084791422,18.625,340.5625,24.90625,1.20625686645508,2.97577285766602
281.744567871094,349.421875,50.9765625,0.0195051021873951,-3.32208251953125,5.06443393533118e-05,101179.5546875,90.3137969970703,8.18783569335938,0.00620046304538846,91,342.75,10.609375,3.67307662963867,4.54096984863281
284.232116699219,365.5390625,47.0234375,-0.0143853724002838,6.63418579101562,8.00049310782924e-05,100682.3125,96.5022735595703,6.03887939453125,0.00787255633622408,93.375,344.625,9.8984375,0.691465377807617,1.67818832397461
280.463592529297,297.796875,112.0078125,0.425071269273758,-103.634368896484,1.96992587007117e-05,101154,74.1170654296875,-25.2142639160156,0.00480290362611413,66.375,344.5,22.484375,5.3963508605957,-6.59968566894531
279.62353515625,248.359375,137.796875,0.166099190711975,-38.5968017578125,-1.72428929090529e-06,101745.953125,71.8168182373047,-5.39608764648438,0.00423378311097622,3.75,339.1875,27.9609375,3.27417373657227,0.182703018188477
280.018005371094,272.1015625,75.625,0.0852565765380859,-20.1395568847656,2.6378673283034e-05,101758.21875,80.9370803833008,-4.19906616210938,0.00491626095026731,63.75,341.0625,15.125,-0.875374436378479,0.662269592285156
279.098846435547,246.7109375,127.6640625,0.369769364595413,-97.2868347167969,-4.19346577018587e-07,101841.96875,74.0870132446289,-18.0887451171875,0.00421024952083826,3.375,338.375,26.2265625,7.0631046295166,-0.0473804473876953
275.880523681641,221.6640625,142.75,0.412490367889404,-97.5083923339844,3.61691320449609e-07,103670.828125,58.6854629516602,-53.9071044921875,0.00262354710139334,16.875,336.375,28.4453125,-0.621679306030273,-4.15032768249512
279.707763671875,303.8125,99.34375,0.0369032509624958,-3.46051025390625,-4.62515259869178e-07,103670.3671875,89.0728378295898,3.13925170898438,0.00527631817385554,65,337.5625,19.6484375,-0.768571853637695,4.04969215393066
283.012512207031,323.1640625,108.71875,-0.16193000972271,43.5413208007812,2.98798340736539e-07,102753.625,98.0917892456055,38.8237609863281,0.00723163364455104,72.25,339.3125,21.4296875,-0.181491851806641,5.78537750244141
285.445159912109,324.8984375,128.9609375,-0.263800591230392,60.7105712890625,2.39860492001753e-06,101953.5,92.5208969116211,49.7737426757812,0.00795444380491972,49.625,342.1875,24.984375,2.61607551574707,5.26660537719727
285.477874755859,326.546875,90.4921875,-0.00820932723581791,2.88006591796875,8.51492404763121e-06,102696.7890625,88.0442352294922,3.520263671875,0.00759460311383009,72.375,344.0625,18.640625,-1.1844367980957,1.07553291320801
283.823181152344,343.171875,46.1796875,-0.0120964683592319,2.73284912109375,0.000125723061501049,102511.953125,97.272331237793,3.73577880859375,0.00764937745407224,83.75,344.9375,9.734375,-2.0277099609375,1.37080001831055
283.069458007812,279.7265625,144.9375,-0.00107519328594208,-0.099639892578125,-2.23290271605947e-06,102221.015625,91.5366668701172,2.85446166992188,0.00680540734902024,61.875,344.9375,28.5078125,-0.191280364990234,-1.21871376037598
282.678344726562,282.3984375,140.6953125,0.136385321617126,-44.0687866210938,2.689353095775e-08,101801.875,83.7545700073242,17.0943908691406,0.00607333378866315,54.5,345.875,26.7421875,2.56994438171387,-0.279218673706055
276.899505615234,222.5859375,154.484375,0.862341105937958,-208.127624511719,2.63760512098088e-07,103356.96875,58.0069122314453,-114.258361816406,0.00282440520823002,13,342.875,29.9453125,3.21925354003906,-8.73370552062988
274.924743652344,288.5390625,53.578125,0.400208801031113,-81.7908020019531,3.0539227736881e-05,103407.890625,65.2329177856445,-52.0614013671875,0.0028275465592742,70.75,340.25,10.375,-1.87086486816406,0.937744140625
280.674530029297,309.5078125,112.5390625,0.145132496953011,-43.2439880371094,4.76737341159605e-07,101173.6796875,87.4917373657227,-4.55316162109375,0.00561655033379793,82.5,340.125,21.015625,4.95871925354004,1.05435371398926
273.892059326172,246.8046875,116.5390625,0.767267048358917,-175.771026611328,-1.11506119537808e-06,102309.8359375,64.9926223754883,-133.080169677734,0.00255155353806913,42.5,337.8125,22.5859375,3.04570770263672,-8.24853324890137
273.077209472656,203.2109375,159.546875,0.643534183502197,-147.678771972656,1.88527235422953e-06,103034.375,64.921257019043,-116.841094970703,0.00237274798564613,0,335.5,30.421875,-0.874303579330444,-7.49925231933594
274.321044921875,225.2890625,147.765625,0.364723742008209,-78.4089965820312,8.47021055960795e-06,103133.734375,74.4544448852539,-60.3255004882812,0.00297311181202531,15.75,333.75,27.2734375,-2.0194685459137,-5.90514183044434
276.798034667969,247.734375,138.484375,0.105197958648205,-22.3340454101562,-2.08465507967048e-06,102913.5234375,83.3412933349609,-13.9093322753906,0.00400132220238447,57.375,332.75,25.5625,-2.5715274810791,-1.99383544921875
278.785064697266,301.0390625,70.0078125,0.0047982893884182,1.997802734375,-2.87069497062475e-08,102537.84375,92.5112915039062,3.24807739257812,0.00513233989477158,52.75,332.5625,13.3359375,-3.29960441589355,-1.83927917480469
281.083801269531,335.7421875,79.109375,-0.0771897584199905,23.1656494140625,0.000187725469004363,101428.84375,97.2090148925781,23.921630859375,0.00636818213388324,76.125,333.5625,15.40625,-2.51841735839844,2.14175415039062
