air,dlwrf,dswrf,evap,lhtfl,prate,pres,rhum,shtfl,shum,tcdc,ulwrf,uswrf,uwnd,vwnd
279.311065673828,295.3984375,91.875,0.280278354883194,-68.1134033203125,-2.42589771914936e-06,100800.4296875,62.3276672363281,-10.2769775390625,0.00364441424608231,62.875,338.875,19.03125,6.10568428039551,-0.624998092651367
278.645385742188,241.8203125,123.453125,0.143032938241959,-32.0895385742188,6.99014935889863e-06,101300.3046875,77.8023681640625,-10.8612060546875,0.00431796116754413,25,338.8125,25.25,2.08711624145508,3.17206192016602
281.041442871094,343.6015625,52.6015625,0.0175051242113113,-3.08770751953125,5.43943388038315e-05,100942.0546875,91.5794219970703,3.48471069335938,0.00601671263575554,91.375,339.9375,11.125,2.92502975463867,4.27436828613281
283.193054199219,354.5,48.953125,-0.00901038199663162,3.45449829101562,5.75049343751743e-05,100532.3125,96.1663360595703,3.50762939453125,0.00733005627989769,94.875,340.9375,9.6171875,0.692441940307617,1.40182113647461
279.627655029297,306.9921875,93.9609375,0.351696282625198,-85.5796813964844,3.44925979334221e-06,101104,73.3592529296875,-23.3470764160156,0.00446165353059769,75.75,341.25,19.046875,5.8543586730957,-4.92292785644531
278.74072265625,276.21875,106.453125,0.201099187135696,-47.1436767578125,-1.72428929090529e-06,101558.453125,71.6683807373047,-14.1929626464844,0.00396253308281302,36.875,340.1875,22.1015625,3.73511123657227,1.04305458068848
278.791442871094,265.7890625,87.9375,0.135756582021713,-31.7098693847656,7.76286688051187e-05,101633.21875,75.7105178833008,-13.1834411621094,0.00422001071274281,64.125,340.625,18.046875,0.289664626121521,0.705238342285156
277.833221435547,240.3125,134.21875,0.382019340991974,-101.271209716797,2.08065353035636e-06,101641.96875,74.9385757446289,-37.9324951171875,0.00388899981044233,13.625,339.0625,27.3671875,6.7418155670166,0.104963302612305
274.552398681641,234.7734375,134.9921875,0.439490377902985,-101.016204833984,3.61691320449609e-07,103570.828125,55.4667129516602,-64.2430419921875,0.0022547971457243,37.875,337.5,27.109375,1.04433631896973,-2.82317924499512
278.028076171875,296.9765625,100.4453125,0.105028241872787,-19.7261352539062,-1.71251519986981e-06,103457.8671875,86.8931503295898,-12.7044982910156,0.00460881786420941,75.375,337.5625,20,0.597639083862305,4.83680152893066
281.778137207031,336.0234375,80.1875,-0.0766800194978714,20.2835083007812,4.04879847337725e-06,102478.625,97.1699142456055,20.1987609863281,0.00660413363948464,73.75,338.1875,16.5390625,0.886867523193359,5.83029937744141
284.327972412109,328.2734375,122.515625,-0.138050585985184,35.3824462890625,0.000114898597530555,101666,89.8099594116211,35.2815551757812,0.00716444384306669,48.375,339.625,24.890625,4.47349739074707,5.61914443969727
284.313812255859,304.296875,116.9921875,-0.00145933125168085,0.08319091796875,1.72649270098191e-05,102609.2890625,84.2395477294922,2.434326171875,0.00673335324972868,71.125,341,22.640625,-0.703968048095703,0.282564163208008
282.909118652344,316.453125,48.6796875,-0.00509647279977798,0.19378662109375,1.44730693136808e-05,102461.953125,94.866081237793,1.84515380859375,0.00700562819838524,83.125,341.625,10.8203125,-3.2904052734375,-0.102832794189453
281.702270507812,270.21875,136.5703125,0.00417479872703552,-1.08401489257812,-2.23290271605947e-06,102133.515625,89.6226043701172,1.44039916992188,0.00602415762841702,43.75,342.0625,27.046875,0.0870399475097656,-0.989221572875977
281.615844726562,276.953125,138.6328125,0.184260308742523,-54.2797241210938,2.689353095775e-08,101664.375,79.0748825073242,8.65689086914062,0.00533208390697837,65,342.5625,27.0390625,3.52306938171387,0.0498828887939453
275.821380615234,216.203125,149.8125,0.758966147899628,-178.893249511719,2.63760512098088e-07,103294.46875,55.6865997314453,-107.289611816406,0.00251440517604351,15.75,340.5,29.5,3.75733947753906,-8.14874458312988
273.580993652344,281.2265625,54.4453125,0.449458837509155,-98.6736145019531,3.30392322211992e-05,103282.890625,61.4829139709473,-74.0614013671875,0.00240879645571113,82.125,339.4375,10.484375,-0.928482055664062,2.447509765625
278.744842529297,299.8046875,92.5,0.227757483720779,-61.3689880371094,1.72673730958195e-06,101011.1796875,83.5229873657227,-29.2328491210938,0.00468655023723841,67.75,339.1875,17.828125,5.11692237854004,1.48208808898926
273.095184326172,235.53125,138.125,0.710642099380493,-160.755401611328,-1.11506119537808e-06,102222.3359375,62.1410598754883,-127.017669677734,0.00230030389502645,31.75,338.125,26.4921875,3.57402801513672,-6.70361137390137
272.194396972656,203.9609375,154.3203125,0.566034197807312,-128.772521972656,1.88527235422953e-06,103009.375,63.124382019043,-110.786407470703,0.00215774797834456,2.5,336.5625,29.921875,0.501672983169556,-6.01390075683594
273.492919921875,217.4296875,153.2109375,0.323223739862442,-70.1511840820312,9.70209839579184e-07,103071.234375,69.9466323852539,-55.7083129882812,0.00261936173774302,5.5,335.25,29.7578125,-0.483335733413696,-3.67467308044434
275.641784667969,241.2421875,134.53125,0.138572961091995,-31.1777954101562,-2.08465507967048e-06,102801.0234375,76.6850433349609,-21.1280822753906,0.00337382173165679,63.125,334.1875,24.921875,-1.2893009185791,0.38604736328125
277.574127197266,297.9765625,76.6875,0.0685482919216156,-12.416259765625,-2.87069497062475e-08,102462.84375,88.8081665039062,-7.91598510742188,0.00451983977109194,65.625,333.125,15.21875,-3.10233879089355,-1.07756042480469
280.646301269531,331.0078125,56.7890625,-0.0423147566616535,13.2906494140625,0.000273975485470146,101278.84375,96.0293273925781,16.460693359375,0.00610693264752626,76.125,333.125,11.09375,-3.27330017089844,2.64859008789062
