Time,CHLA,DIN,DON,KD,NH4F,NO23F,SALINITY,TDN,TSS,WTEMP
86400,1.56614252372396,1.40751472863775,0.147183688562035,0.760560439685765,0.0208432031823774,1.40330804201209,0,1.56496979754808,16.1716000558099,3.46064502789765
172800,1.56488247418033,1.4062018971875,0.148283660377579,0.868888485889219,0.0226854844017864,1.39538367403963,0,1.56292044233075,16.0895682199691,3.37345473535959
259200,1.56387170426307,1.40516319229806,0.149778325022275,0.990410300704328,0.024506643896473,1.38867673356412,0,1.56151779662455,15.9636611559188,3.28986116007389
345600,1.56310129443552,1.40438289009928,0.151583605733028,1.12175529062004,0.0262996053402507,1.38308568721569,0,1.56071571115344,15.8026634133503,3.21045363195489
432000,1.56256232516099,1.40384526672098,0.15361542574674,1.2595528621253,0.0280572924069325,1.3785090016245,0.000226133134436941,1.56046803664138,15.6153595419547,3.1358214809169
518400,1.56224587690282,1.40353459829301,0.155789708300315,1.40043242170906,0.0297726287703318,1.3748451434207,0.000481419472261805,1.56072862381233,15.4105340914236,3.06655403687424
604800,1.56214303012433,1.4034351609452,0.158022376630656,1.54102337586027,0.0314385381042618,1.37199257923444,0.000738944075954234,1.56145132339024,15.1969716114481,3.00324062974124
691200,1.56224486528885,1.4035312308074,0.160229353974666,1.67795513106787,0.0330479440825358,1.36984977569587,0.000998681524164189,1.56258998609908,14.9834566517195,2.94647058943221
777600,1.56254246285971,1.40380708400944,0.162326563569249,1.80785709382081,0.034593770378967,1.36831519943514,0.00126060639554164,1.5640984626628,14.7787737619293,2.89683324586149
864000,1.56302690330023,1.40424699668116,0.164229928651307,1.92735867060805,0.0360689406673688,1.3672873170824,0.00152469326873654,1.56593060380536,14.5917074917687,2.85491792894338
950400,1.56368926707375,1.4048352449524,0.165855372457744,2.03308926791852,0.0374663786215542,1.3666645952678,0.00179091672239885,1.56804026025073,14.4310423909291,2.82131396859222
1036800,1.5645206346436,1.405556104953,0.167118818225462,2.12167829224118,0.0387790079153367,1.3663455006215,0.00205925133517856,1.57038128272286,14.3055630091017,2.79661069472232
1123200,1.56551208647309,1.40639385281279,0.167936189191367,2.18975515006498,0.0399997522225295,1.36622849977363,0.0023296716857256,1.57290752194571,14.2240538959778,2.781397437248
1209600,1.56665482141577,1.40733283970562,0.16822343328821,2.23395016385477,0.0411215463513858,1.36621213741351,0.00260214914426202,1.57557283977924,14.1952967786829,2.77626393648119
1296000,1.5692553125939,1.40913569950083,0.168188494074611,2.26189543539968,0.0422479966944662,1.3670250415789,0.002846169430082,1.57846837117531,14.1952615471753,2.78530063531459
